[11.1.2021 | 22:57:56] [Agatka007]: Szukanie przedmiotow, broni itp. Zbiera sie np drewno, kamien itp. By moc sie budowac wyzej 

[11.1.2021 | 22:58:15] [Agatka007]: Jakby by osiogac wicej 

[11.1.2021 | 22:58:20] [Agatka007]: Wiecej* 

[11.1.2021 | 22:58:29] [Cichy]: Rozumiem. 

[11.1.2021 | 22:58:51] [Agatka007]: Mam nadzieje ze chodziaz w minimalnym stopniu wyjasnilam 

[11.1.2021 | 22:58:55] [Cichy]: Chciałabyś zobaczyć jeszcze kilka poleceń, jeżeli chodzi o komendy typu /minecraft? 

[11.1.2021 | 22:59:3] [Agatka007]: Nom 

[11.1.2021 | 22:59:4] [Cichy]: Jestem poradnym facetem, spokojnie. 

[11.1.2021 | 22:59:11] [Cichy]: Potrafię myć naczynia. 

[11.1.2021 | 22:59:26] [Agatka007]: To dobrze 

[11.1.2021 | 23:0:40] [Agatka007]: Nom 

[11.1.2021 | 23:1:1] [Agatka007]: /cs:go 

[11.1.2021 | 23:1:5] [Agatka007]: Znajdziemy 

[11.1.2021 | 23:1:12] [Cichy]: Tutaj coś sprawdzałem, nie zwracaj uwagi. 

[11.1.2021 | 23:1:21] [Agatka007]: Ok 

[11.1.2021 | 23:1:34] [Agatka007]: /lol 

[11.1.2021 | 23:1:42] [Agatka007]: /fortnite 

[11.1.2021 | 23:2:9] [Agatka007]: /fifa 

[11.1.2021 | 23:2:17] [Agatka007]: Dobra poddaje sie xD 

[11.1.2021 | 23:2:33] [Cichy]: Jeżeli chcesz, możesz wyjaśnić działanie tych poleceń, co miałyby robić. 

[11.1.2021 | 23:3:24] [Agatka007]: W sensie? 

[11.1.2021 | 23:3:36] [Cichy]: Jak miałyby działać. 

[11.1.2021 | 23:4:35] [Agatka007]: Emm 

[11.1.2021 | 23:7:10] [Agatka007]: Nie wiem 

[11.1.2021 | 23:7:28] [Agatka007]: Serio, staram sie cos wymyslic 

[11.1.2021 | 23:7:32] [Agatka007]: Ale nwm 

[11.1.2021 | 23:7:33] [Cichy]: W porządku. 

[11.1.2021 | 23:7:41] [Agatka007]: Wiem nie pomagam 

[11.1.2021 | 23:13:35] [Agatka007]: Albooo moze zrobic tak ze jak ktos napisze ktoras z gier ktorakolwiek, i wypadnie ta np rzadka bron, zwierze, rzecz. To jakas dodatkowa rola wpadnie na konto. 

[11.1.2021 | 23:13:37] [Agatka007]: Jak nwm 

[11.1.2021 | 23:13:44] [Agatka007]: Jakby nwm 

[11.1.2021 | 23:13:54] [Agatka007]: Staram sie jak moge xDD 

[11.1.2021 | 23:14:11] [Cichy]: Raczej to funkcja do botów niepublicznych. 

[11.1.2021 | 23:14:19] [Cichy]: Wollfer chciałbym, by był publicznym botem. 

[11.1.2021 | 23:14:42] [Agatka007]: Jasne 

[11.1.2021 | 23:14:46] [Agatka007]: To nwm xD 

[11.1.2021 | 23:20:28] [Agatka007]: Jak cos przyjdzie mi do glowy to napiszs 

[11.1.2021 | 23:20:32] [Agatka007]: Napisze* 

[11.1.2021 | 23:20:42] [Cichy]: W porządku. 

[11.1.2021 | 23:29:13] [Agatka007]: Ja bede leciec. Dobranoc 

[11.1.2021 | 23:29:18] [Cichy]: Cześć. 

[12.1.2021 | 13:6:28] [Agatka007]: Aaa to ja znam takie xD 

[12.1.2021 | 13:7:12] [Agatka007]: xDD 

[12.1.2021 | 13:7:16] [Agatka007]: Sorka musialam 

[12.1.2021 | 13:7:53] [Agatka007]: Ejj dobre. Fajne 

