[10.1.2021 | 14:54:50] [Invejosa]: Gdzie? 

[10.1.2021 | 14:55:11] [FiczetoX]: Strefa Zjednoczenia 

[10.1.2021 | 14:55:26] [Invejosa]: A kiedy dodawałeś? 

[10.1.2021 | 14:55:42] [FiczetoX]: Wczoraj Skrobia go dodała 

[10.1.2021 | 14:55:49] [Invejosa]: Jaka skrobia...? 

[10.1.2021 | 14:56:13] [FiczetoX]: Cheeto Pizzerini 

[10.1.2021 | 14:56:24] [FiczetoX]: Nazwa użytkownika 

[10.1.2021 | 15:0:10] [Invejosa]: A wyślesz zaproszenie na ich serwer? 

[10.1.2021 | 15:9:5] [NoOne]: Prawdopodobnie, jak każdy bot, wolfer wymaga uprawnień więc jeśli dodaje go osoba, która nie może dać roli administratora, bot nie będzie działał 

[10.1.2021 | 15:13:18] [Invejosa]: Wydaje mi się, że do dodania potrzebne jest tylko uprawnienie "zarządzanie serwerem" 

[10.1.2021 | 15:13:26] [Invejosa]: I nie trzeba więcej 

[10.1.2021 | 15:13:48] [Invejosa]: Może wina leży w tym, że czegoś nie pozaznaczała 

[10.1.2021 | 15:13:52] [Invejosa]: Ta osoba 

[10.1.2021 | 23:18:18] [Amarisia]: @everyone Qnik13 odzyskał władzę ! ❤️ 

[11.1.2021 | 14:14:55] [Amarisia]: https://youtu.be/DXQ3UZE4I2g 

[11.1.2021 | 14:15:21] [Amarisia]: https://youtu.be/9ZnWsniLrmY 

[11.1.2021 | 17:14:44] [Invejosa]: Dlaczego właściwie Cichy zarekrutowal wtedy Ferrundera? 

[11.1.2021 | 17:14:52] [Invejosa]: <@714205832501526528> 

[11.1.2021 | 17:15:14] [Invejosa]: Chyba Ty w tym temacie najbardziej ogarnięta 

[11.1.2021 | 17:16:16] [NoOne]: Zastanówmy się czy jest to warte dalszego rozważania 

[11.1.2021 | 17:17:2] [Invejosa]: Nie rozumiem dlaczego Cichy tak każdemu ufa i daje wszystkim druga szanse, mimo, że wie co się może wydarzyć 

[11.1.2021 | 17:17:54] [NoOne]: To wie tylko On sam, my możemy się jedynie dozlmyslac 

[11.1.2021 | 17:18:24] [Invejosa]: Może po prostu popełnił błąd m 

[11.1.2021 | 17:18:35] [Invejosa]: Jak myślicie? 

[11.1.2021 | 17:18:41] [Invejosa]: Cichy zawsze patrzy w przyszłość 

[11.1.2021 | 17:18:45] [NoOne]: Każdemu się zdarza 

[11.1.2021 | 17:18:57] [NoOne]: Widocznie nie przewidział tego co może się stać 

[11.1.2021 | 17:19:25] [Invejosa]: Nie możliwe. Na pewno wiedzial, ze może to się wydarzyć 

[11.1.2021 | 17:19:32] [Invejosa]: Nie jest głupi 

[11.1.2021 | 17:21:11] [NoOne]: Ja wiem, znasz go i wiesz jaki jest, ale nie jest doskonały, nikt nie jest  więc każdy może się pomylić 

[11.1.2021 | 17:22:48] [Invejosa]: Masz rację, może po prostu popełnił błąd... 

[11.1.2021 | 17:28:49] [Invejosa]: Smutno mi się robi... 

[11.1.2021 | 17:28:53][Invejosa]: undefined [Image Link:https://cdn.discordapp.com/attachments/779472983307452481/798226940862398464/Screenshot_20210111-172840_Discord.jpg] 

[11.1.2021 | 17:29:42] [Invejosa]: Okropnie go traktują 

[11.1.2021 | 17:30:38] [NoOne]: <@793522598000459788> nie ładuje mi się pv 

[11.1.2021 | 17:30:48] [NoOne]: Żaden czat prywatny nie działa 

[11.1.2021 | 17:31:59] [Invejosa]: Okej, wysłałam Ci to zdjęcie tylko właściwie 

[11.1.2021 | 17:32:43] [NoOne]: Ok 

[11.1.2021 | 17:37:46][Invejosa]: undefined [Image Link:https://cdn.discordapp.com/attachments/779472983307452481/798229176774819840/Screenshot_20210111-173647_Discord.jpg] 

