[11.1.2021 | 21:41:44] [cheeto pizzerini]: ale sie przyjeło że są 

[11.1.2021 | 21:41:49] [cheeto pizzerini]: i to jest dziwne 

[11.1.2021 | 21:41:51] [cheeto pizzerini]: dosyć 

[11.1.2021 | 22:11:40] [Deamovsky]: Wiadomo że High Ground wygra bo po tajemniczych szyfrach to druga najpotężniejsza rzecz we wszechświecie 

[11.1.2021 | 22:12:16] [Deamovsky]: Niech nikt nawet nie próbuje podważać potęgi High Ground'u 

[11.1.2021 | 22:15:52] [18seba03]: Popieram, popieram widać że jesteś Man od culture 

[11.1.2021 | 22:16:26] [Deamovsky]: już wiemy czemu obi przegrał z vaderem na gwieździe śmierci 

[11.1.2021 | 22:16:39] [Deamovsky]: nie miał wtedy high ground'u 

[11.1.2021 | 22:17:8] [18seba03]: Prawdziwe, tak naprawdę wiemy że mógł go zdobyć kiedy chciał lecz uznał że to nie fair by Anakin ciągle przegrywał 

[11.1.2021 | 22:17:38][Deamovsky]: undefined [Image Link:https://cdn.discordapp.com/attachments/787839978994401280/798299609826590820/349229_i-have-the-high-ground.jpg] 

[11.1.2021 | 22:18:31][Deamovsky]: undefined [Image Link:https://cdn.discordapp.com/attachments/787839978994401280/798299833403834388/aye93Br_700b.jpg] 

[11.1.2021 | 22:21:11][Deamovsky]: undefined [Image Link:https://cdn.discordapp.com/attachments/787839978994401280/798300501857927178/3982282.jpg] 

[11.1.2021 | 22:21:18][Deamovsky]: undefined [Image Link:https://cdn.discordapp.com/attachments/787839978994401280/798300530408685598/407806_ja-nie-dam-rady-ja-nie-dam-rady.jpg] 

[11.1.2021 | 22:21:25][Deamovsky]: undefined [Image Link:https://cdn.discordapp.com/attachments/787839978994401280/798300561451515914/339049_od-razu-widac-kto-jest-sithem.jpg] 

[11.1.2021 | 22:23:13] [18seba03]: xD 

[11.1.2021 | 22:23:25] [18seba03]: Tę dobre stare star warsowe memy 

