[25.1.2021 | 18:6:7] [Kokichi✔]: **trzecia walka** 

[25.1.2021 | 18:7:24] [Kokichi✔]: --battle <@!772758787542351892> & <@!790508375019356160> 

[25.1.2021 | 18:8:20] [Kokichi✔]: **czwarta i ostatnia walka** 

[25.1.2021 | 18:9:5] [Kokichi✔]: --battle <@!689129555549618269> & <@!581373577404874752> 

[25.1.2021 | 18:9:48] [XeeMee]: kiedy kolejne ? 

[25.1.2021 | 18:9:48] [Kokichi✔]: sadge 

[25.1.2021 | 18:9:53] [Kokichi✔]: zaraz 

[25.1.2021 | 18:9:59] [Kokichi✔]: robię baner 

[25.1.2021 | 18:10:4] [XeeMee]: oki 

[25.1.2021 | 18:13:22] [Kokichi✔]: --battle <@!763675745951678474> & <@!802480296129331240> 

[25.1.2021 | 18:13:39] [Kokichi✔]: **to 1 walka 

[25.1.2021 | 18:15:36] [Kokichi✔]: **druga walka** 

[25.1.2021 | 18:15:53] [Kokichi✔]: --battle <@!790508375019356160> & <@!689129555549618269> 

[25.1.2021 | 18:16:28] [Kokichi✔]: ok 

[25.1.2021 | 18:17:34] [᷇᷇†᷇᷇₩ℓ₳Ɒ₡₳†₭₳₵₹Ἔ₭†]: i finał 

[25.1.2021 | 18:17:43] [Kokichi✔]: dobra lecim 

[25.1.2021 | 18:18:1] [Rekin]: Ez 

[25.1.2021 | 18:18:21] [Kokichi✔]: --battle <@!763675745951678474> & <@!790508375019356160> 

[25.1.2021 | 18:18:55] [XeeMee]: Rekin won 

[27.1.2021 | 18:36:34] [Kokichi✔]: **pierwsza walka** 

[27.1.2021 | 18:36:50] [Kokichi✔]: --battle <@!695590947630743635> & <@!689129555549618269> 

[27.1.2021 | 18:37:29] [Rekin]: Hahahhahaa 

[27.1.2021 | 18:38:10] [Rekin]: Dawaj dalej 

[27.1.2021 | 18:38:11] [Kokichi✔]: **druga walka** 

[27.1.2021 | 18:38:35] [Kokichi✔]: --battle <@!581373577404874752>  & <@!607951368413773824> 

[27.1.2021 | 18:39:11] [Rekin]: Pog 

[27.1.2021 | 18:39:12] [Kokichi✔]: **trzecia walka** 

[27.1.2021 | 18:40:34] [Kokichi✔]: <@!801091172235477042>  & <@!763675745951678474> 

[27.1.2021 | 18:40:50] [Kokichi✔]: -battle <@!763675745951678474>  & <@!801091172235477042> 

[27.1.2021 | 18:40:54] [👑 _PRYMEK_ 👑]: **DAWAJ** 

[27.1.2021 | 18:41:7] [Rekin]: -_- 

[27.1.2021 | 18:41:11] [👑 _PRYMEK_ 👑]: --battle <@763675745951678474> - <@801091172235477042> 

[27.1.2021 | 18:41:11] [Kokichi✔]: --battle <@!763675745951678474>  & <@!801091172235477042> 

[27.1.2021 | 18:41:33] [👑 _PRYMEK_ 👑]: Mocny cios chyba 

[27.1.2021 | 18:41:34] [👑 _PRYMEK_ 👑]: Aha 

[27.1.2021 | 18:42:4] [Rekin]: Ez 

[27.1.2021 | 18:42:5] [Kokichi✔]: **czwarta walka** 

[27.1.2021 | 18:42:14] [👑 _PRYMEK_ 👑]: <:emoji_26:796691745021755432> 

[27.1.2021 | 18:42:32] [Kokichi✔]: --battle <@!790508375019356160> & <@!802480296129331240> 

[27.1.2021 | 18:44:24] [Kokichi✔]: **pierwsza walka** 

[27.1.2021 | 18:44:51] [Kokichi✔]: --battle <@!695590947630743635> & <@!581373577404874752> 

[27.1.2021 | 18:45:15] [Kokichi✔]: **druga walka** 

[27.1.2021 | 18:45:29] [Kokichi✔]: --battle <@!763675745951678474> & <@!802480296129331240> 

[27.1.2021 | 18:45:54] [Rekin]: Ez 

[27.1.2021 | 18:47:10] [Kokichi✔]: **finałowa walka** 

[27.1.2021 | 18:47:22] [Kokichi✔]: --battle <@!763675745951678474> & <@!695590947630743635> 

[27.1.2021 | 18:47:57] [Kokichi✔]: o 

[27.1.2021 | 18:48:8] [Kokichi✔]: **walki wygrał rekin** 

[27.1.2021 | 18:48:13] [Rekin]: XD 

[27.1.2021 | 18:54:28] [SOKOLEK]: ;c 

[27.1.2021 | 20:12:2] [❤_Nezuko Kamado_❤]: <@&795694584894193683> zaczynamy 

[27.1.2021 | 20:12:49] [❤_Nezuko Kamado_❤]: --Bartle <@564061194907025448> <@581373577404874752> 

[27.1.2021 | 20:12:55] [Free boy]: tymczasem ja czekający czy będę pomocnikiem ._. 

[27.1.2021 | 20:13:19][Free boy]: undefined [Image Link:https://cdn.discordapp.com/attachments/782567822647230474/804066528847855626/unknown.png] 

[27.1.2021 | 20:13:28] [❤_Nezuko Kamado_❤]: --Battle <@564061194907025448> <@581373577404874752> 

[27.1.2021 | 20:13:58] [Free boy]: <:ff:797818002593546280> 

[27.1.2021 | 20:14:5][Free boy]: undefined [Image Link:https://cdn.discordapp.com/attachments/782567822647230474/804066725100388392/unknown.png] 

[27.1.2021 | 20:15:13] [❤_Nezuko Kamado_❤]: --Battle <@689129555549618269> <@763675745951678474> 

[27.1.2021 | 20:15:45] [Rekin]: Sadge 

[27.1.2021 | 20:17:53] [❤_Nezuko Kamado_❤]: --Battle <@790508375019356160> <@801091172235477042> 

