[18.1.2021 | 16:37:7] [👑 _PRYMEK_ 👑]: !use bank 

[18.1.2021 | 16:37:17] [Kokichi✔]: !bal 

[18.1.2021 | 16:37:30] [Kokichi✔]: !with 10000 

[18.1.2021 | 16:37:32] [Kokichi✔]: !bj all 

[18.1.2021 | 16:37:35] [Kokichi✔]: hit 

[18.1.2021 | 16:37:37] [Kokichi✔]: stand 

[18.1.2021 | 16:37:40] [Kokichi✔]: lol 

[18.1.2021 | 16:37:53] [👑 _PRYMEK_ 👑]: !bj all 

[18.1.2021 | 16:37:56] [👑 _PRYMEK_ 👑]: Hit 

[18.1.2021 | 16:37:58] [👑 _PRYMEK_ 👑]: Hit 

[18.1.2021 | 16:38:0] [👑 _PRYMEK_ 👑]: Eaz 

[18.1.2021 | 16:38:6] [👑 _PRYMEK_ 👑]: !dep all 

[18.1.2021 | 16:38:12] [👑 _PRYMEK_ 👑]: Hahaha 

[18.1.2021 | 16:38:38] [Kokichi✔]: !with 100000 

[18.1.2021 | 16:45:47] [👑 _PRYMEK_ 👑]: **RANGE <@&800750103257153558> POSIADAJĄ
1. <@689129555549618269> 
2. <@581373577404874752> 

[18.1.2021 | 21:57:19] [🥵Lidzia❤]: !add-money <@!772758787542351892> 5000 

[18.1.2021 | 21:58:3] [🥵Lidzia❤]: !add-money <@!763675745951678474> 5000 

[18.1.2021 | 21:58:23] [🥵Lidzia❤]: !add-money <@689129555549618269> 5000 

[18.1.2021 | 21:58:54] [🥵Lidzia❤]: !add-money <@!607951368413773824> 5000 

[18.1.2021 | 21:59:21] [👑 _PRYMEK_ 👑]: !dep all 

[18.1.2021 | 21:59:30] [🥵Lidzia❤]: !add-money <@!790508375019356160> 10000 

[18.1.2021 | 21:59:52] [🥵Lidzia❤]: !add-money <@692081730508685312> 10000 

[18.1.2021 | 22:0:12] [🥵Lidzia❤]: !add-money <@!695590947630743635> 20000 

[18.1.2021 | 22:0:25] [🥵Lidzia❤]: !add-money <@743410273645494322> 25000 

[18.1.2021 | 22:1:1] [🥵Lidzia❤]: !give <@689129555549618269> all 

[18.1.2021 | 22:1:7] [🥵Lidzia❤]: !bal 

[18.1.2021 | 22:1:22] [👑 _PRYMEK_ 👑]: Dzk 

[18.1.2021 | 22:1:30] [👑 _PRYMEK_ 👑]: !dep all 

[18.1.2021 | 22:2:40] [🥵Lidzia❤]: Spoczko 

[19.1.2021 | 9:22:16] [bart.bruk]: !top -cash 

[19.1.2021 | 9:22:41] [bart.bruk]: loll 

[19.1.2021 | 9:23:0] [bart.bruk]: rib <@!561625159522320391> 

[19.1.2021 | 9:23:49] [bart.bruk]: !collectincome 

[19.1.2021 | 9:27:20] [bart.bruk]: !WITH 65000 

[19.1.2021 | 9:27:24] [bart.bruk]: !buy los 

[19.1.2021 | 9:27:46] [bart.bruk]: !dep all 

[19.1.2021 | 9:27:49] [bart.bruk]: !bal 

[19.1.2021 | 9:27:53] [bart.bruk]: !with all 

[19.1.2021 | 9:27:58] [bart.bruk]: !bj 200000 

[19.1.2021 | 9:28:1] [bart.bruk]: stand 

[19.1.2021 | 9:28:4] [Boberełełe]: !work 

[19.1.2021 | 9:28:9] [bart.bruk]: !buy chic 

[19.1.2021 | 9:28:13] [bart.bruk]: !cf 100 

[19.1.2021 | 9:28:16] [Boberełełe]: !dep all 

[19.1.2021 | 9:28:17] [bart.bruk]: !cf all 

[19.1.2021 | 9:28:21] [bart.bruk]: nieeeeee 

[19.1.2021 | 9:28:23] [bart.bruk]: !bal 

[19.1.2021 | 9:28:32] [bart.bruk]: !work 

[19.1.2021 | 9:28:37] [bart.bruk]: !crime
! 

[19.1.2021 | 9:28:40] [bart.bruk]: !crime 

[19.1.2021 | 9:28:42] [bart.bruk]: !slut 

[19.1.2021 | 9:28:45] [bart.bruk]: !work 

[19.1.2021 | 9:28:48] [bart.bruk]: !bj all 

[19.1.2021 | 9:28:50] [bart.bruk]: hit 

[19.1.2021 | 9:28:53] [bart.bruk]: stad 

[19.1.2021 | 9:28:55] [bart.bruk]: stand 

[19.1.2021 | 9:29:0] [bart.bruk]: !buy chic 

[19.1.2021 | 9:29:3] [bart.bruk]: !cf all 

[19.1.2021 | 9:29:11] [bart.bruk]: kur 

[19.1.2021 | 9:33:30] [bart.bruk]: !TOP 

[19.1.2021 | 9:53:22] [👑 _PRYMEK_ 👑]: !set-curenncy <:emoji_60:801011157976219658> 

[19.1.2021 | 9:53:33] [𝖘𝖙𝖆𝖈𝖍]: !bal 

[19.1.2021 | 9:53:39] [👑 _PRYMEK_ 👑]: !set-currency <:emoji_60:801011157976219658> 

[19.1.2021 | 9:53:41] [𝖘𝖙𝖆𝖈𝖍]: !store 

[19.1.2021 | 9:53:42] [👑 _PRYMEK_ 👑]: EZ 

[19.1.2021 | 9:53:46] [👑 _PRYMEK_ 👑]: !bal 

[19.1.2021 | 9:53:48] [𝖘𝖙𝖆𝖈𝖍]: !bal 

[19.1.2021 | 9:53:51] [𝖘𝖙𝖆𝖈𝖍]: Nice 

[19.1.2021 | 9:53:53] [𝖘𝖙𝖆𝖈𝖍]: Fajne 

[19.1.2021 | 9:54:3] [👑 _PRYMEK_ 👑]: Nom 

[19.1.2021 | 9:54:5] [👑 _PRYMEK_ 👑]: Mega 

[19.1.2021 | 9:54:7] [𝖘𝖙𝖆𝖈𝖍]: !store 

[19.1.2021 | 9:54:10] [👑 _PRYMEK_ 👑]: Kup sobie bank 

[19.1.2021 | 9:54:13] [👑 _PRYMEK_ 👑]: !shop 2 

[19.1.2021 | 9:54:21] [👑 _PRYMEK_ 👑]: Może być tylko 5 banków 

[19.1.2021 | 9:54:25] [👑 _PRYMEK_ 👑]: Na razie jest 2 

[19.1.2021 | 9:55:0] [👑 _PRYMEK_ 👑]: <@776502980814962738> 

[19.1.2021 | 9:55:5] [👑 _PRYMEK_ 👑]: Wypłać 700k 

[19.1.2021 | 9:55:6] [👑 _PRYMEK_ 👑]: I kup 

[19.1.2021 | 9:55:9] [👑 _PRYMEK_ 👑]: Polecam 

[19.1.2021 | 9:55:24] [𝖘𝖙𝖆𝖈𝖍]: Mam własną Ekonomię 😉 

[19.1.2021 | 9:55:30] [𝖘𝖙𝖆𝖈𝖍]: Wiem jak się posługiwać 

[19.1.2021 | 9:55:36] [𝖘𝖙𝖆𝖈𝖍]: Nie tłumacz 

[19.1.2021 | 9:55:45] [𝖘𝖙𝖆𝖈𝖍]: !with 700000 

[19.1.2021 | 9:55:53] [𝖘𝖙𝖆𝖈𝖍]: !buy-item BANK 

[19.1.2021 | 9:56:2] [𝖘𝖙𝖆𝖈𝖍]: !use-item BANK 

[19.1.2021 | 9:56:14] [𝖘𝖙𝖆𝖈𝖍]: !collect-income 

[19.1.2021 | 9:56:18] [👑 _PRYMEK_ 👑]: Ok 

[19.1.2021 | 9:56:32] [𝖘𝖙𝖆𝖈𝖍]: !collect-income 

[19.1.2021 | 9:56:37] [👑 _PRYMEK_ 👑]: Wiesz co raczej nie używajmy za bardzo collect income 

[19.1.2021 | 9:56:45] [👑 _PRYMEK_ 👑]: Bo my dajemy co wieczór 

[19.1.2021 | 9:56:46] [𝖘𝖙𝖆𝖈𝖍]: Yyy 

[19.1.2021 | 9:56:47] [👑 _PRYMEK_ 👑]: Hajsik 

[19.1.2021 | 9:56:54] [𝖘𝖙𝖆𝖈𝖍]: Aha 

[19.1.2021 | 9:56:57] [𝖘𝖙𝖆𝖈𝖍]: Ale łatwiej 

[19.1.2021 | 9:56:57] [👑 _PRYMEK_ 👑]: Bo bot pisze nam 

[19.1.2021 | 9:57:2] [𝖘𝖙𝖆𝖈𝖍]: Collect-income 

[19.1.2021 | 9:57:2] [👑 _PRYMEK_ 👑]: No wm 

[19.1.2021 | 9:57:3] [👑 _PRYMEK_ 👑]: Wsm 

[19.1.2021 | 9:57:18] [👑 _PRYMEK_ 👑]: Nie długo tak będziemy robić 

[19.1.2021 | 9:57:31] [𝖘𝖙𝖆𝖈𝖍]: Ja mogę to zrobić 

[19.1.2021 | 9:57:39] [𝖘𝖙𝖆𝖈𝖍]: Łatwe 

[19.1.2021 | 9:57:58] [👑 _PRYMEK_ 👑]: **RANGE <@&800750103257153558> POSIADAJĄ*
1. <@689129555549618269> 
2. <@581373577404874752> 
3. <@776502980814962738> 

[19.1.2021 | 9:58:7] [👑 _PRYMEK_ 👑]: undefined 

[19.1.2021 | 9:58:28] [👑 _PRYMEK_ 👑]: 🙂 

[19.1.2021 | 9:58:35] [𝖘𝖙𝖆𝖈𝖍]: Mogę to zrobić 

[19.1.2021 | 9:58:40] [👑 _PRYMEK_ 👑]: Ok 

[19.1.2021 | 9:58:43] [👑 _PRYMEK_ 👑]: Ale co? 

[19.1.2021 | 9:58:44] [𝖘𝖙𝖆𝖈𝖍]: Ok 

[19.1.2021 | 9:58:55] [𝖘𝖙𝖆𝖈𝖍]: Daj uprawnienia 

[19.1.2021 | 9:59:0] [𝖘𝖙𝖆𝖈𝖍]: W sensie 

[19.1.2021 | 9:59:7] [Kokichi✔]: !top -cash 

[19.1.2021 | 9:59:20] [👑 _PRYMEK_ 👑]: <@776502980814962738> 

[19.1.2021 | 9:59:23] [👑 _PRYMEK_ 👑]: Podanie napisz 

[19.1.2021 | 9:59:27] [👑 _PRYMEK_ 👑]: Na pomocnika 

[19.1.2021 | 9:59:28] [𝖘𝖙𝖆𝖈𝖍]: Ok 

[19.1.2021 | 9:59:37] [👑 _PRYMEK_ 👑]: Ja lecę bo mam 

[19.1.2021 | 9:59:38] [👑 _PRYMEK_ 👑]: Lekcje 

[19.1.2021 | 9:59:39] [👑 _PRYMEK_ 👑]: Naura 

[19.1.2021 | 9:59:45] [𝖘𝖙𝖆𝖈𝖍]: Spk 

[19.1.2021 | 10:1:50] [👑 _PRYMEK_ 👑]: <@776502980814962738> 

[19.1.2021 | 10:1:54] [👑 _PRYMEK_ 👑]: <#710547724008816665> 

[19.1.2021 | 10:2:3] [👑 _PRYMEK_ 👑]: To kanał do rekrutacji 

[19.1.2021 | 10:2:14] [👑 _PRYMEK_ 👑]: <:emoji_19:795196878131953694> 

[19.1.2021 | 10:3:16] [bart.bruk]: !bal 

[19.1.2021 | 10:3:19] [bart.bruk]: !top 

[19.1.2021 | 10:3:42] [bart.bruk]: <@!776502980814962738> dasz trochę grosza? 

[19.1.2021 | 10:3:49] [bart.bruk]: plis 

[19.1.2021 | 10:4:32] [👑 _PRYMEK_ 👑]: Patrz jakie ładne monety 

[19.1.2021 | 10:4:33] [👑 _PRYMEK_ 👑]: <@790508375019356160> 

[19.1.2021 | 10:4:56] [bart.bruk]: no 

[19.1.2021 | 10:9:52] [𝖘𝖙𝖆𝖈𝖍]: okej 

[19.1.2021 | 10:10:13] [𝖘𝖙𝖆𝖈𝖍]: !with 400000 

[19.1.2021 | 10:10:29] [𝖘𝖙𝖆𝖈𝖍]: !give-money <@!790508375019356160> 400000 

[19.1.2021 | 10:10:34] [𝖘𝖙𝖆𝖈𝖍]: Proszę 

[19.1.2021 | 10:12:4] [bart.bruk]: !DEP ALL 

[19.1.2021 | 10:12:5] [👑 _PRYMEK_ 👑]: Łuuu 

[19.1.2021 | 10:12:10] [bart.bruk]: dzięki 

[19.1.2021 | 10:12:15] [bart.bruk]: !bal 

[19.1.2021 | 10:12:20] [bart.bruk]: !with 100000 

[19.1.2021 | 10:12:24] [bart.bruk]: !buy chic 

