[25.1.2021 | 14:43:35] [Kokichi✔]: no 

[25.1.2021 | 14:43:57] [Kokichi✔]: yes 

[25.1.2021 | 14:44:8] [Kokichi✔]: idk him 

[26.1.2021 | 10:12:22] [᷇᷇†᷇᷇₩ℓ₳Ɒ₡₳†₭₳₵₹Ἔ₭†]: !akinator 

[26.1.2021 | 10:12:37] [᷇᷇†᷇᷇₩ℓ₳Ɒ₡₳†₭₳₵₹Ἔ₭†]: yes 

[26.1.2021 | 10:12:39] [᷇᷇†᷇᷇₩ℓ₳Ɒ₡₳†₭₳₵₹Ἔ₭†]: no 

[26.1.2021 | 10:12:43] [᷇᷇†᷇᷇₩ℓ₳Ɒ₡₳†₭₳₵₹Ἔ₭†]: yes 

[26.1.2021 | 10:12:47] [᷇᷇†᷇᷇₩ℓ₳Ɒ₡₳†₭₳₵₹Ἔ₭†]: no 

[26.1.2021 | 10:12:49] [᷇᷇†᷇᷇₩ℓ₳Ɒ₡₳†₭₳₵₹Ἔ₭†]: yes 

[26.1.2021 | 10:12:51] [᷇᷇†᷇᷇₩ℓ₳Ɒ₡₳†₭₳₵₹Ἔ₭†]: no 

[26.1.2021 | 10:12:54] [᷇᷇†᷇᷇₩ℓ₳Ɒ₡₳†₭₳₵₹Ἔ₭†]: yes 

[26.1.2021 | 10:12:56] [᷇᷇†᷇᷇₩ℓ₳Ɒ₡₳†₭₳₵₹Ἔ₭†]: no 

[26.1.2021 | 10:13:1] [᷇᷇†᷇᷇₩ℓ₳Ɒ₡₳†₭₳₵₹Ἔ₭†]: yes 

[26.1.2021 | 10:13:9] [᷇᷇†᷇᷇₩ℓ₳Ɒ₡₳†₭₳₵₹Ἔ₭†]: no 

[26.1.2021 | 10:13:12] [᷇᷇†᷇᷇₩ℓ₳Ɒ₡₳†₭₳₵₹Ἔ₭†]: yes 

[26.1.2021 | 10:13:14] [᷇᷇†᷇᷇₩ℓ₳Ɒ₡₳†₭₳₵₹Ἔ₭†]: no 

[26.1.2021 | 10:13:16] [᷇᷇†᷇᷇₩ℓ₳Ɒ₡₳†₭₳₵₹Ἔ₭†]: yes 

[26.1.2021 | 10:13:18] [᷇᷇†᷇᷇₩ℓ₳Ɒ₡₳†₭₳₵₹Ἔ₭†]: no 

[26.1.2021 | 10:13:21] [᷇᷇†᷇᷇₩ℓ₳Ɒ₡₳†₭₳₵₹Ἔ₭†]: yes 

